"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"145","ALASTOR ","RON","So, which curse shall we see first? WEASLEY! ","so, which curse shall we see first? weasley! ","so, which curse shall we see first? weasley! ",",  curse shall  see first? weasley! ","  curse shall  see first weasley ","  curse shall  see first weasley "," curse shall see first weasley ","curse shall see first weasley"
"146","RON","ALASTOR ","Yes...  ","yes...  ","yes...  ","yes...  ","yes  ","yes  ","yes ","yes"
"147","ALASTOR ","RON","Give us a curse.  ","give us a curse.  ","give us a curse.  ","give us  curse.  ","give us  curse  ","give us  curse  ","give us curse ","give us curse"
"148","RON","ALASTOR ","Well, my dad did tell me about one... The imperious curse. ","well, my dad did tell me about one... the imperious curse. ","well, my dad did tell me about one... the imperious curse. ","well,  dad  tell   one...  imperious curse. ","well  dad  tell   one  imperious curse ","well  dad  tell   one  imperious curse ","well dad tell one imperious curse ","good dad tell one imperious curse"
"149","ALASTOR ","RON","Ahhh yes, your father would know all about that. Gave the ministry quite a bit of grief a few years ago. Perhaps this will show you why.  ","ahhh yes, your father would know all about that. gave the ministry quite a bit of grief a few years ago. perhaps this will show you why.  ","ahhh yes, your father would know all about that. gave the ministry quite a bit of grief a few years ago. perhaps this will show you why.  ","ahhh yes,  father  know   . gave  ministry quite  bit  grief   years ago. perhaps  will show  .  ","ahhh yes  father  know    gave  ministry quite  bit  grief   years ago perhaps  will show    ","ahhh yes  father  know    gave  ministry quite  bit  grief   years ago perhaps  will show    ","ahhh yes father know gave ministry quite bit grief years ago perhaps will show ","ahhh yes father know give ministry quite bite grief year ago perhaps will show"
"150","ALASTOR ","NEVILLE","Hello. What a little beauty.  ","hello. what a little beauty.  ","hello. what a little beauty.  ","hello.   little beauty.  ","hello   little beauty  ","hello   little beauty  ","hello little beauty ","hello little beauty"
"151","ALASTOR ","PUPIL","Don't worry. Completely harmless.  ","don't worry. completely harmless.  ","don't worry. completely harmless.  "," worry. completely harmless.  "," worry completely harmless  "," worry completely harmless  "," worry completely harmless ","worry completely harmless"
"152","ALASTOR ","PUPIL","But if she bites... she's lethal!  ","but if she bites... she's lethal!  ","but if she bites... she's lethal!  ","   bites...  lethal!  ","   bites  lethal  ","   bites  lethal  "," bites lethal ","bite lethal"
"153","ALASTOR ","DRACO","What are you laughing at?  ","what are you laughing at?  ","what are you laughing at?  ","   laughing ?  ","   laughing   ","   laughing   "," laughing ","laugh"
"154","ALASTOR ","DRACO","Talented isn't she? What shall I have her do next? Jump out the window? Drown herself?","talented isn't she? what shall i have her do next? jump out the window? drown herself?","talented isn't she? what shall i have her do next? jump out the window? drown herself?","talented  ?  shall     next? jump   window? drown ?","talented    shall     next jump   window drown ","talented    shall     next jump   window drown ","talented shall next jump window drown ","talented shall next jump window drown"
"155","ALASTOR ","NEVILLE","Scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. But here's the rub, how do we sort out the liars? Another.. another.. Come on come on. Longbottom is it? Up.  ","scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. but here's the rub, how do we sort out the liars? another.. another.. come on come on. longbottom is it? up.  ","scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. but here's the rub, how do we sort out the liars? another.. another.. come on come on. longbottom is it? up.  ","scores  witches  wizards  claimed      -know-whose bidding   influence   imperious curse.    rub,    sort   liars? another.. another.. come  come . longbottom  ? .  ","scores  witches  wizards  claimed      knowwhose bidding   influence   imperious curse    rub    sort   liars another another come  come  longbottom     ","scores  witches  wizards  claimed      knowwhose bidding   influence   imperious curse    rub    sort   liars another another come  come  longbottom     ","scores witches wizards claimed knowwhose bidding influence imperious curse rub sort liars another another come come longbottom ","score witch wizard claim knowwhose bid influence imperious curse rub sort liar another another come come longbottom"
"156","ALASTOR ","NEVILLE","Professor Sprout tells me you have an aptitude for herbology. ","professor sprout tells me you have an aptitude for herbology. ","professor sprout tells me you have an aptitude for herbology. ","professor sprout tells     aptitude  herbology. ","professor sprout tells     aptitude  herbology ","professor sprout tells     aptitude  herbology ","professor sprout tells aptitude herbology ","professor sprout tell aptitude herbology"
"157","NEVILLE","ALASTOR ","There's the um... The cruciatus curse.  ","there's the um... the cruciatus curse.  ","there's the um... the cruciatus curse.  ","  um...  cruciatus curse.  ","  um  cruciatus curse  ","  um  cruciatus curse  "," um cruciatus curse ","um cruciatus curse"
"158","ALASTOR ","NEVILLE","Correct! Correct! come come. Particularly nasty. The torture curse. ","correct! correct! come come. particularly nasty. the torture curse. ","correct! correct! come come. particularly nasty. the torture curse. ","correct! correct! come come. particularly nasty.  torture curse. ","correct correct come come particularly nasty  torture curse ","correct correct come come particularly nasty  torture curse ","correct correct come come particularly nasty torture curse ","correct correct come come particularly nasty torture curse"
"159","HERMIONE","ALASTOR ","Stop it! Can't you see it's bothering him, stop it! ","stop it! can't you see it's bothering him, stop it! ","stop it! can't you see it's bothering him, stop it! ","stop !   see  bothering , stop ! ","stop    see  bothering  stop  ","stop    see  bothering  stop  ","stop see bothering stop ","stop see bother stop"
"160","ALASTOR ","HERMIONE","Perhaps you could give us the last unforgivable curse Miss Granger.","perhaps you could give us the last unforgivable curse miss granger.","perhaps you could give us the last unforgivable curse miss granger.","perhaps   give us  last unforgivable curse miss granger.","perhaps   give us  last unforgivable curse miss granger","perhaps   give us  last unforgivable curse miss granger","perhaps give us last unforgivable curse miss granger","perhaps give us last unforgivable curse miss granger"
"161","ALASTOR ","PUPIL","The killing curse. Only one person is known to have survived it. And he's sitting in this room.","the killing curse. only one person is known to have survived it. and he's sitting in this room.","the killing curse. only one person is known to have survived it. and he's sitting in this room."," killing curse.  one person  known   survived .   sitting   room."," killing curse  one person  known   survived    sitting   room"," killing curse  one person  known   survived    sitting   room"," killing curse one person known survived sitting room","kill curse one person know survive sit room"
"162","RON","HERMIONE","Brilliant isn't he! Completely demented of course. Terrifying to be in the same room with, he's really BEEN there you know.  ","brilliant isn't he! completely demented of course. terrifying to be in the same room with, he's really been there you know.  ","brilliant isn't he! completely demented of course. terrifying to be in the same room with, he's really been there you know.  ","brilliant  ! completely demented  course. terrifying      room ,  really    know.  ","brilliant   completely demented  course terrifying      room   really    know  ","brilliant   completely demented  course terrifying      room   really    know  ","brilliant completely demented course terrifying room really know ","brilliant completely dement course terrify room really know"
"163","HERMIONE","RON","There's a reason those curses are unforgivable, and to perform them in a classroom. I mean did you see Neville's face.  ","there's a reason those curses are unforgivable, and to perform them in a classroom. i mean did you see neville's face.  ","there's a reason those curses are unforgivable, and to perform them in a classroom. i mean did you see neville's face.  ","  reason  curses  unforgivable,   perform    classroom.  mean   see neville's face.  ","  reason  curses  unforgivable   perform    classroom  mean   see nevilles face  ","  reason  curses  unforgivable   perform    classroom  mean   see nevilles face  "," reason curses unforgivable perform classroom mean see nevilles face ","reason curse unforgivable perform classroom mean see nevilles face"
"164","ALASTOR ","NEVILLE","Son. You alright?  ","son. you alright?  ","son. you alright?  ","son.  alright?  ","son  alright  ","son  alright  ","son alright ","son alright"
"165","ALASTOR ","NEVILLE","Come on, we'll have a cup of tea. I want to show you something. ","come on, we'll have a cup of tea. i want to show you something. ","come on, we'll have a cup of tea. i want to show you something. ","come ,    cup  tea.  want  show  something. ","come     cup  tea  want  show  something ","come     cup  tea  want  show  something ","come cup tea want show something ","come cup tea want show something"
"166","RON","HARRY","Eternal glory, be brilliant wouldn't it? In three years from now we'll be old enough to be choosen.","eternal glory, be brilliant wouldn't it? in three years from now we'll be old enough to be choosen.","eternal glory, be brilliant wouldn't it? in three years from now we'll be old enough to be choosen.","eternal glory,  brilliant  ?  three years  now   old enough   choosen.","eternal glory  brilliant    three years  now   old enough   choosen","eternal glory  brilliant    three years  now   old enough   choosen","eternal glory brilliant three years now old enough choosen","eternal glory brilliant three year now old enough choosen"
"167","HARRY","RON","Yeah well rather you than me.  ","yeah well rather you than me.  ","yeah well rather you than me.  ","yeah well rather   .  ","yeah well rather     ","yeah well rather     ","yeah well rather ","yes good rather"
"168","GEORGE","TWINS","Thank you thank you, well lads we've done it. ","thank you thank you, well lads we've done it. ","thank you thank you, well lads we've done it. ","thank  thank , well lads  done . ","thank  thank  well lads  done  ","thank  thank  well lads  done  ","thank thank well lads done ","thank thank good lad do"
"169","FRED","GEORGE","Cooked it up just this morning.  ","cooked it up just this morning.  ","cooked it up just this morning.  ","cooked   just  morning.  ","cooked   just  morning  ","cooked   just  morning  ","cooked just morning ","cook just morning"
"170","HERMIONE","FRED","It's not going to work.  ","it's not going to work.  ","it's not going to work.  ","  going  work.  ","  going  work  ","  going  work  "," going work ","go work"
"171","FRED","HERMIONE","Oh yeah? And why's that Granger.  ","oh yeah? and why's that granger.  ","oh yeah? and why's that granger.  ","oh yeah?    granger.  ","oh yeah    granger  ","oh yeah    granger  ","oh yeah granger ","oh yes granger"
"172","HERMIONE","FRED","You see this? This is an age line. Dumbledore drew it himself. ","you see this? this is an age line. dumbledore drew it himself. ","you see this? this is an age line. dumbledore drew it himself. "," see ?    age line. dumbledore drew  . "," see     age line dumbledore drew   "," see     age line dumbledore drew   "," see age line dumbledore drew ","see age line dumbledore draw"
"173","FRED","HERMIONE","So?  ","so?  ","so?  ","?  ","  ","  "," ",""
"174","HERMIONE","FRED","So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.","so a genius like dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.","so a genius like dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.","  genius like dumbledore  possibly  fooled  something pathetically dimwitted    age potion.","  genius like dumbledore  possibly  fooled  something pathetically dimwitted    age potion","  genius like dumbledore  possibly  fooled  something pathetically dimwitted    age potion"," genius like dumbledore possibly fooled something pathetically dimwitted age potion","genius like dumbledore possibly fool something pathetically dimwitted age potion"
"175","GEORGE","HERMIONE","That's why it's so brilliant.  ","that's why it's so brilliant.  ","that's why it's so brilliant.  ","    brilliant.  ","    brilliant  ","    brilliant  "," brilliant ","brilliant"
"176","GEORGE","FRED","Ready Fred?  ","ready fred?  ","ready fred?  ","ready fred?  ","ready fred  ","ready fred  ","ready fred ","ready fred"
"177","FRED","GEORGE","Ready George?  ","ready george?  ","ready george?  ","ready george?  ","ready george  ","ready george  ","ready george ","ready george"
"178","GEORGE","FRED","You said..  ","you said..  ","you said..  "," said..  "," said  "," said  "," said ","say"
"179","GEORGE","FRED","Fred You said..  ","fred you said..  ","fred you said..  ","fred  said..  ","fred  said  ","fred  said  ","fred said ","fred say"
"180","DUMBLEDORE","PUPIL","Sit down please. And now the moment you've all been waiting for, the champions selection!","sit down please. and now the moment you've all been waiting for, the champions selection!","sit down please. and now the moment you've all been waiting for, the champions selection!","sit  please.  now  moment    waiting ,  champions selection!","sit  please  now  moment    waiting   champions selection","sit  please  now  moment    waiting   champions selection","sit please now moment waiting champions selection","sit please now moment wait champion selection"
"181","DUMBLEDORE","PUPIL","The Durmstrang champion is ... Viktor Krum! ","the durmstrang champion is ... viktor krum! ","the durmstrang champion is ... viktor krum! "," durmstrang champion  ... viktor krum! "," durmstrang champion   viktor krum "," durmstrang champion   viktor krum "," durmstrang champion viktor krum ","durmstrang champion viktor krum"
"182","DUMBLEDORE","PUPIL","The champion from Beauxbatons... Fleur Delacour ","the champion from beauxbatons... fleur delacour ","the champion from beauxbatons... fleur delacour "," champion  beauxbatons... fleur delacour "," champion  beauxbatons fleur delacour "," champion  beauxbatons fleur delacour "," champion beauxbatons fleur delacour ","champion beauxbatons fleur delacour"
"183","DUMBLEDORE","PUPIL","The Hogwarts champion... Cedric Diggory.  ","the hogwarts champion... cedric diggory.  ","the hogwarts champion... cedric diggory.  "," hogwarts champion... cedric diggory.  "," hogwarts champion cedric diggory  "," hogwarts champion cedric diggory  "," hogwarts champion cedric diggory ","hogwarts champion cedric diggory"
"184","DUMBLEDORE","PUPIL","Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!  ","excellent! we now have our three champions! but in the end only one will go down in history. only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!  ","excellent! we now have our three champions! but in the end only one will go down in history. only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!  ","excellent!  now   three champions!    end  one will go   history.  one will hoist  chalice  champions,  vessel  victory  tr-wizard cup!  ","excellent  now   three champions    end  one will go   history  one will hoist  chalice  champions  vessel  victory  trwizard cup  ","excellent  now   three champions    end  one will go   history  one will hoist  chalice  champions  vessel  victory  trwizard cup  ","excellent now three champions end one will go history one will hoist chalice champions vessel victory trwizard cup ","excellent now three champion end one will go history one will hoist chalice champion vessel victory trwizard cup"
"185","DUMBLEDORE","HARRY","Harry Potter. Harry Potter?  ","harry potter. harry potter?  ","harry potter. harry potter?  ","harry potter. harry potter?  ","harry potter harry potter  ","harry potter harry potter  ","harry potter harry potter ","harry potter harry potter"
"186","HAGRID","DUMBLEDORE","No... No.  ","no... no.  ","no... no.  ","... .  ","   ","   "," ",""
"187","DUMBLEDORE","HARRY","Harry Potter!  ","harry potter!  ","harry potter!  ","harry potter!  ","harry potter  ","harry potter  ","harry potter ","harry potter"
"188","HERMIONE","HARRY","Go on Harry. Harry for goodness sake.  ","go on harry. harry for goodness sake.  ","go on harry. harry for goodness sake.  ","go  harry. harry  goodness sake.  ","go  harry harry  goodness sake  ","go  harry harry  goodness sake  ","go harry harry goodness sake ","go harry harry goodness sake"
"189","VOICE","DUMBLEDORE","He's a cheat! He's not even seventeen yet. ","he's a cheat! he's not even seventeen yet. ","he's a cheat! he's not even seventeen yet. ","  cheat!   even seventeen yet. ","  cheat   even seventeen yet ","  cheat   even seventeen yet "," cheat even seventeen yet ","cheat even seventeen yet"
"190","DUMBLEDORE","HARRY","Harry! Did you put your name in the goblet of fire? ","harry! did you put your name in the goblet of fire? ","harry! did you put your name in the goblet of fire? ","harry!   put  name   goblet  fire? ","harry   put  name   goblet  fire ","harry   put  name   goblet  fire ","harry put name goblet fire ","harry put name goblet fire"
"191","HARRY","DUMBLEDORE","No SIRIUS.  ","no sirius.  ","no sirius.  "," sirius.  "," sirius  "," sirius  "," sirius ","sirius"
"192","DUMBLEDORE","HARRY","Did you ask one of the older students to do it for you? ","did you ask one of the older students to do it for you? ","did you ask one of the older students to do it for you? ","  ask one   older students     ? ","  ask one   older students      ","  ask one   older students      "," ask one older students ","ask one old student"
"193","HARRY","DUMBLEDORE","No SIRIUS.  ","no sirius.  ","no sirius.  "," sirius.  "," sirius  "," sirius  "," sirius ","sirius"
"194","DUMBLEDORE","HARRY","You're absolutely sure?  ","you're absolutely sure?  ","you're absolutely sure?  "," absolutely sure?  "," absolutely sure  "," absolutely sure  "," absolutely sure ","absolutely sure"
"195","HARRY","DUMBLEDORE","Yes SIRIUS.  ","yes sirius.  ","yes sirius.  ","yes sirius.  ","yes sirius  ","yes sirius  ","yes sirius ","yes sirius"
"196","MADAME MAXIME","DUMBLEDORE","Well of course he is lying.  ","well of course he is lying.  ","well of course he is lying.  ","well  course   lying.  ","well  course   lying  ","well  course   lying  ","well course lying ","good course lie"
"197","ALASTOR ","DUMBLEDORE","The hell he is. The goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. Magic way beyond the talents of a fourth year.  ","the hell he is. the goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. magic way beyond the talents of a fourth year.  ","the hell he is. the goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. magic way beyond the talents of a fourth year.  "," hell  .  goblet  fire   exceptionally powerful magical object,   exceptionally powerful conjurer   hoodwinked . magic way beyond  talents   fourth year.  "," hell    goblet  fire   exceptionally powerful magical object   exceptionally powerful conjurer   hoodwinked  magic way beyond  talents   fourth year  "," hell    goblet  fire   exceptionally powerful magical object   exceptionally powerful conjurer   hoodwinked  magic way beyond  talents   fourth year  "," hell goblet fire exceptionally powerful magical object exceptionally powerful conjurer hoodwinked magic way beyond talents fourth year ","hell goblet fire exceptionally powerful magical object exceptionally powerful conjurer hoodwink magic way beyond talent 4 year"
"198","IGOR","ALASTOR ","You seem to have given this a fair bit of thought Mad-Eye. ","you seem to have given this a fair bit of thought mad-eye. ","you seem to have given this a fair bit of thought mad-eye. "," seem   given   fair bit  thought mad-eye. "," seem   given   fair bit  thought madeye "," seem   given   fair bit  thought madeye "," seem given fair bit thought madeye ","seem give fair bite think madeye"
"199","ALASTOR ","IGOR","It was once my job to think as dark wizards do Karkaroff perhaps you remember? ","it was once my job to think as dark wizards do karkaroff perhaps you remember? ","it was once my job to think as dark wizards do karkaroff perhaps you remember? ","    job  think  dark wizards  karkaroff perhaps  remember? ","    job  think  dark wizards  karkaroff perhaps  remember ","    job  think  dark wizards  karkaroff perhaps  remember "," job think dark wizards karkaroff perhaps remember ","job think dark wizard karkaroff perhaps remember"
"200","DUMBLEDORE","BARTY","That doesn't help Alastor. Leave this to you Barty. ","that doesn't help alastor. leave this to you barty. ","that doesn't help alastor. leave this to you barty. ","  help alastor. leave    barty. ","  help alastor leave    barty ","  help alastor leave    barty "," help alastor leave barty ","help alastor leave barty"
"201","BARTY","DUMBLEDORE","The rules are absolute, the goblet of fire constitutes a binding magical contract. Mr Potter has no choice, he is as of tonight... a tri-wizards champion.  ","the rules are absolute, the goblet of fire constitutes a binding magical contract. mr potter has no choice, he is as of tonight... a tri-wizards champion.  ","the rules are absolute, the goblet of fire constitutes a binding magical contract. mr potter has no choice, he is as of tonight... a tri-wizards champion.  "," rules  absolute,  goblet  fire constitutes  binding magical contract. mr potter   choice,     tonight...  tr-wizards champion.  "," rules  absolute  goblet  fire constitutes  binding magical contract mr potter   choice     tonight  trwizards champion  "," rules  absolute  goblet  fire constitutes  binding magical contract mr potter   choice     tonight  trwizards champion  "," rules absolute goblet fire constitutes binding magical contract mr potter choice tonight trwizards champion ","rule absolute goblet fire constitute bind magical contract mr potter choice tonight trwizards champion"
"202","MCGONAGALL","DUMBLEDORE","This can't go on Albus. First the dark mark, now this? ","this can't go on albus. first the dark mark, now this? ","this can't go on albus. first the dark mark, now this? ","  go  albus. first  dark mark, now ? ","  go  albus first  dark mark now  ","  go  albus first  dark mark now  "," go albus first dark mark now ","go albus first dark mark now"
"203","DUMBLEDORE","MCGONAGALL","What do you suggest Minerva?  ","what do you suggest minerva?  ","what do you suggest minerva?  ","   suggest minerva?  ","   suggest minerva  ","   suggest minerva  "," suggest minerva ","suggest minerva"
"204","MCGONAGALL","DUMBLEDORE","Put an end to it. Don't let Potter compete.  ","put an end to it. don't let potter compete.  ","put an end to it. don't let potter compete.  ","put  end  .  let potter compete.  ","put  end    let potter compete  ","put  end    let potter compete  ","put end let potter compete ","put end let potter compete"
"205","DUMBLEDORE","MCGONAGALL","You heard Barty the rules are clear.  ","you heard barty the rules are clear.  ","you heard barty the rules are clear.  "," heard barty  rules  clear.  "," heard barty  rules  clear  "," heard barty  rules  clear  "," heard barty rules clear ","hear barty rule clear"
"206","MCGONAGALL","DUMBLEDORE","Well the devil with Barty and his rules. And since when did you accomodate them... ","well the devil with barty and his rules. and since when did you accomodate them... ","well the devil with barty and his rules. and since when did you accomodate them... ","well  devil  barty   rules.  since    accomodate ... ","well  devil  barty   rules  since    accomodate  ","well  devil  barty   rules  since    accomodate  ","well devil barty rules since accomodate ","good devil barty rule since accomodate"
"207","SEVERUS","DUMBLEDORE","Master I too find it difficult to believe this mere coincidence, if we are to truly discover the meaning of these events perhaps we should for the time being let them unfold.  ","master i too find it difficult to believe this mere coincidence, if we are to truly discover the meaning of these events perhaps we should for the time being let them unfold.  ","master i too find it difficult to believe this mere coincidence, if we are to truly discover the meaning of these events perhaps we should for the time being let them unfold.  ","master   find  difficult  believe  mere coincidence,     truly discover  meaning   events perhaps     time  let  unfold.  ","master   find  difficult  believe  mere coincidence     truly discover  meaning   events perhaps     time  let  unfold  ","master   find  difficult  believe  mere coincidence     truly discover  meaning   events perhaps     time  let  unfold  ","master find difficult believe mere coincidence truly discover meaning events perhaps time let unfold ","master find difficult believe mere coincidence truly discover mean event perhaps time let unfold"
"208","MCGONAGALL","DUMBLEDORE","Do nothing?? Offer him up as bait? Potter is a boy not a piece of meat. ","do nothing?? offer him up as bait? potter is a boy not a piece of meat. ","do nothing?? offer him up as bait? potter is a boy not a piece of meat. "," nothing?? offer    bait? potter   boy   piece  meat. "," nothing offer    bait potter   boy   piece  meat "," nothing offer    bait potter   boy   piece  meat "," nothing offer bait potter boy piece meat ","nothing offer bait potter boy piece meat"
"209","DUMBLEDORE","ALASTOR","I agree with Severus. Alastor, keep an eye on Harry will you? ","i agree with severus. alastor, keep an eye on harry will you? ","i agree with severus. alastor, keep an eye on harry will you? "," agree  severus. alastor, keep  eye  harry will ? "," agree  severus alastor keep  eye  harry will  "," agree  severus alastor keep  eye  harry will  "," agree severus alastor keep eye harry will ","agree severus alastor keep eye harry will"
"210","ALASTOR ","DUMBLEDORE","I can do that.  ","i can do that.  ","i can do that.  "," can  .  "," can    "," can    "," can ","can"
"211","DUMBLEDORE","MCGONAGALL","Don't let him know though, he must be anxious enough as it is... knowing what lies ahead. Then again, we all are.","don't let him know though, he must be anxious enough as it is... knowing what lies ahead. then again, we all are.","don't let him know though, he must be anxious enough as it is... knowing what lies ahead. then again, we all are."," let  know though,  must  anxious enough   ... knowing  lies ahead.  ,   ."," let  know though  must  anxious enough    knowing  lies ahead     "," let  know though  must  anxious enough    knowing  lies ahead     "," let know though must anxious enough knowing lies ahead ","let know though must anxious enough know lie ahead"
"212","RON","HARRY","How did you do it?  ","how did you do it?  ","how did you do it?  ","    ?  ","      ","      "," ",""
"213","RON","HARRY","Never mind. Doesn't matter. You could have let your best friend know though. ","never mind. doesn't matter. you could have let your best friend know though. ","never mind. doesn't matter. you could have let your best friend know though. ","never mind.  matter.    let  best friend know though. ","never mind  matter    let  best friend know though ","never mind  matter    let  best friend know though ","never mind matter let best friend know though ","never mind matter let good friend know though"
"214","HARRY","RON","Let you know what?  ","let you know what?  ","let you know what?  ","let  know ?  ","let  know   ","let  know   ","let know ","let know"
"215","RON","HARRY","You know bloody well what.  ","you know bloody well what.  ","you know bloody well what.  "," know bloody well .  "," know bloody well   "," know bloody well   "," know bloody well ","know bloody good"
"216","HARRY","RON","I didn't ask for this to happen Ron. Okay? You're being stupid. ","i didn't ask for this to happen ron. okay? you're being stupid. ","i didn't ask for this to happen ron. okay? you're being stupid. ","  ask    happen ron. okay?   stupid. ","  ask    happen ron okay   stupid ","  ask    happen ron okay   stupid "," ask happen ron okay stupid ","ask happen ron okay stupid"
"217","RON","HARRY","Yeah that's me, Ron Weasley... Harry Potter's stupid friend. ","yeah that's me, ron weasley... harry potter's stupid friend. ","yeah that's me, ron weasley... harry potter's stupid friend. ","yeah  , ron weasley... harry potter's stupid friend. ","yeah   ron weasley harry potters stupid friend ","yeah   ron weasley harry potters stupid friend ","yeah ron weasley harry potters stupid friend ","yes ron weasley harry potter stupid friend"
"218","HARRY","RON","I didn't put my name in that cup. I don't WANT eternal glory I just wanna be.. Look, I don't know what happened tonight and I don't know why, it just did ok.  be.. Look, I don't know what happened","i didn't put my name in that cup. i don't want eternal glory i just wanna be.. look, i don't know what happened tonight and i don't know why, it just did ok.  be.. look, i don't know what happened","i didn't put my name in that cup. i don't want eternal glory i just wanna be.. look, i don't know what happened tonight and i don't know why, it just did ok.  be.. look, i don't know what happened","  put  name   cup.   want eternal glory  just wanna .. look,   know  happened tonight    know ,  just  ok.  .. look,   know  happened","  put  name   cup   want eternal glory  just wanna  look   know  happened tonight    know   just  ok   look   know  happened","  put  name   cup   want eternal glory  just wanna  look   know  happened tonight    know   just  ok   look   know  happened"," put name cup want eternal glory just wanna look know happened tonight know just ok look know happened","put name cup want eternal glory just wanna look know happen tonight know just okay look know happen"
"219","RON","HARRY","Piss off.  ","piss off.  ","piss off.  ","piss .  ","piss   ","piss   ","piss ","piss"
"220","RITA","HARRY","What a charismatic quartet. Hello!  ","what a charismatic quartet. hello!  ","what a charismatic quartet. hello!  ","  charismatic quartet. hello!  ","  charismatic quartet hello  ","  charismatic quartet hello  "," charismatic quartet hello ","charismatic quartet hello"
"221","RITA","HARRY","I'm Rita Skeeter, I write for the daily prophet. But of course you know that don't you. It's you we don't know, you're the news. What quirks lurk beneath those rosy cheeks? what mysteries do the muscles mask? does courage lie beneath those curls? In short, what makes a champion tick. Me, myself and I want to know. Not to mention my rabid readers. So, who's feeling up to sharing? Mmm? Shall we start with the youngest. Lovely.  ","i'm rita skeeter, i write for the daily prophet. but of course you know that don't you. it's you we don't know, you're the news. what quirks lurk beneath those rosy cheeks? what mysteries do the muscles mask? does courage lie beneath those curls? in short, what makes a champion tick. me, myself and i want to know. not to mention my rabid readers. so, who's feeling up to sharing? mmm? shall we start with the youngest. lovely.  ","i'm rita skeeter, i write for the daily prophet. but of course you know that don't you. it's you we don't know, you're the news. what quirks lurk beneath those rosy cheeks? what mysteries do the muscles mask? does courage lie beneath those curls? in short, what makes a champion tick. me, myself and i want to know. not to mention my rabid readers. so, who's feeling up to sharing? mmm? shall we start with the youngest. lovely.  "," rita skeeter,  write   daily prophet.   course  know   .     know,   news.  quirks lurk beneath  rosy cheeks?  mysteries   muscles mask?  courage lie beneath  curls?  short,  makes  champion tick. ,    want  know.   mention  rabid readers. ,  feeling   sharing? mmm? shall  start   youngest. lovely.  "," rita skeeter  write   daily prophet   course  know        know   news  quirks lurk beneath  rosy cheeks  mysteries   muscles mask  courage lie beneath  curls  short  makes  champion tick     want  know   mention  rabid readers   feeling   sharing mmm shall  start   youngest lovely  "," rita skeeter  write   daily prophet   course  know        know   news  quirks lurk beneath  rosy cheeks  mysteries   muscles mask  courage lie beneath  curls  short  makes  champion tick     want  know   mention  rabid readers   feeling   sharing mmm shall  start   youngest lovely  "," rita skeeter write daily prophet course know know news quirks lurk beneath rosy cheeks mysteries muscles mask courage lie beneath curls short makes champion tick want know mention rabid readers feeling sharing mmm shall start youngest lovely ","rita skeeter write daily prophet course know know news quirk lurk beneath rosy cheek mystery muscle mask courage lie beneath curl short make champion tick want know mention rabid reader feel share mmm shall start young lovely"
"222","RITA","HARRY","This is cosy.  ","this is cosy.  ","this is cosy.  ","  cosy.  ","  cosy  ","  cosy  "," cosy ","cosy"
"223","HARRY","RITA","It's a broomcupboard.  ","it's a broomcupboard.  ","it's a broomcupboard.  ","  broomcupboard.  ","  broomcupboard  ","  broomcupboard  "," broomcupboard ","broomcupboard"
"224","RITA","HARRY","You should feel right at home then. Don't mind if I use the quill do you? ","you should feel right at home then. don't mind if i use the quill do you? ","you should feel right at home then. don't mind if i use the quill do you? ","  feel right  home .  mind   use  quill  ? ","  feel right  home   mind   use  quill   ","  feel right  home   mind   use  quill   "," feel right home mind use quill ","feel right home mind use quill"
"225","HARRY","RITA","Oh, no.  ","oh, no.  ","oh, no.  ","oh, .  ","oh   ","oh   ","oh ","oh"
"226","RITA","HARRY","So Harry, here you sit, a mere boy of twelve.. ","so harry, here you sit, a mere boy of twelve.. ","so harry, here you sit, a mere boy of twelve.. "," harry,   sit,  mere boy  twelve.. "," harry   sit  mere boy  twelve "," harry   sit  mere boy  twelve "," harry sit mere boy twelve ","harry sit mere boy twelve"
"227","HARRY","RITA","I'm fourteen.  ","i'm fourteen.  ","i'm fourteen.  "," fourteen.  "," fourteen  "," fourteen  "," fourteen ","fourteen"
